Title,Year,Authors,Included_(Y=yes_N=No),Comments
Quadruple abnormal protein aggregates in brainstem pathology and exogenous metal-rich magnetic nanoparticles (and engineered Ti-rich nanorods). The substantia nigrae is a very early target in young urbanites and the gastrointestinal tract a key brainstem portal,2020,"Calderón-Garcidueñas, Lilian; González-Maciel, Angélica; Reynoso-Robles, Rafael; Hammond, Jessica; Kulesza, Randy; Lachmann, Ingolf; Torres-Jardón, Ricardo; Mukherjee, Partha S.; Maher, Barbara A.",N,"No specific mention of CO, O3, or NO2 as air pollutants focuses on PM2.5 and metal-rich nanoparticles."
"Quantitative Measurement of Cooperative Binding in Partially Dissociated Water Dimers at the Hematite ""R-Cut"" Surface",2024,"Ryan, Paul T. P.; Sombut, Panukorn; Rafsanjani-Abbasi, Ali; Wang, Chunlei; Eratam, Fulden; Goto, Francesco; Franchini, Cesare; Diebold, Ulrike; Meier, Matthias; Duncan, David A.; Parkinson, Gareth S.",N,The article does not mention any air pollutants or Parkinson's disease.
Radical prostatectomy in Denmark: Survival analysis and temporal trends in clinicopathological parameters with up to 20 years of follow-up,2017,"Heering, M.; Berg, K.D.; Brasso, K.; Iversen, P.; Røder, M.A.",N,The study focuses on prostate cancer and does not mention air pollutants or Parkinson's disease.
Radon in the workplace: implications of studies of post-remediation monitoring,2004,"Denman, A. R.; Parkinson, S.; Johnstone, M.; Crockett, R. G. M.; Phillips, P. S.",N,"The study focuses on radon, not the specified air pollutants CO, O3, NO2 or Parkinson's disease."
Rapid oxygen exchange between hematite and water vapor,2021,"Jakub, Zdenek; Meier, Matthias; Kraushofer, Florian; Balajka, Jan; Pavelec, Jiri; Schmid, Michael; Franchini, Cesare; Diebold, Ulrike; Parkinson, Gareth S.",N,The article does not mention any air pollutants or Parkinson's disease.
Rapid resolution of akinetic mutism in delayed post-hypoxic leukoencephalopathy with intravenous magnesium sulfate,2012,"Rozen, T.D.",N,The study is a case report and does not meet the observational study criteria.
Reactive nitrogen species in cellular signaling,2015,"Adams, L.; Franco, M.C.; Estévez, A.G.",N,The article does not mention air pollutants or Parkinson's as an adverse health outcome.
Reactive Oxygen Species in Regulating Lymphangiogenesis and Lymphatic Function,2022,"Singla, B.; Aithabathula, R.V.; Kiran, S.; Kapil, S.; Kumar, S.; Singh, U.P.",N,The article does not mention any air pollutants or Parkinson's disease as an adverse health outcome.
Real-space investigation of polarons in hematite Fe(2)O(3),2024,"Redondo, Jesus; Reticcioli, Michele; Gabriel, Vit; Wrana, Dominik; Ellinger, Florian; Riva, Michele; Franceschi, Giada; Rheinfrank, Erik; Sokolović, Igor; Jakub, Zdenek; Kraushofer, Florian; Alexander, Aji; Belas, Eduard; Patera, Laerte L.; Repp, Jascha; Schmid, Michael; Diebold, Ulrike; Parkinson, Gareth S.; Franchini, Cesare; Kocan, Pavel; Setvin, Martin",N,The article does not mention air pollutants or Parkinson's disease.
Recent advances in colorimetric and fluorometric sensing of neurotransmitters by organic scaffolds,2022,"Chemchem, M.; Chemchem, A.; Aydıner, B.; Seferoĝlu, Z.",N,The article does not mention any air pollutants or explicitly link Parkinson's to air pollution.
Reciprocal regulation of GPNMB/HIF-1α for Inhibition of neuronal ferroptosis in delayed encephalopathy after acute carbon monoxide poisoning,2025,"Liu, Z.; Sun, L.; Gao, N.; Li, W.; Pang, L.",N,The study focuses on a rat model and does not involve human populations or explicitly link Parkinson's to air pollutants.
Rectal administration and its application in ozonetherapy,2012,"Martínez-Sánchez, G.; Re, L.",N,The study focuses on ozone therapy and does not mention Parkinson's or air pollution as health outcomes.
Recurrences in the autocorrelation function governing the ultraviolet absorption spectra of O3,1989,"Johnson, B.R.; Kinsey, J.L.",N,The study does not mention Parkinson's as an adverse health outcome or link it to air pollutants.
Redox homeostasis and cellular stress response in aging and neurodegeneration,2010,"Calabrese, V.; Cornelius, C.; Mancuso, C.; Lentile, R.; Stella, A.M.; Butterfield, D.A.",N,No mention of air pollutants or Parkinson's as an adverse health outcome related to air pollution.
Redox regulation of cellular stress response in aging and neurodegenerative disorders: Role of vitagenes,2007,"Calabrese, V.; Guagliano, E.; Sapienza, M.; Panebianco, M.; Calafato, S.; Puleo, E.; Pennisi, G.; Mancuso, C.; Butterfield, D.A.; Stella, A.M.",N,"No air pollutants mentioned focuses on oxidative stress and neurodegeneration without linking to CO, O3, or NO2."
"Redox regulation of heat shock protein expression by signaling involving nitric oxide and carbon monoxide: Relevance to brain aging, neurodegenerative disorders, and longevity",2006,"Calabrese, V.; Butterfield, D.A.; Scapagnini, G.; Stella, A.M.; Maines, M.D.",N,Does not explicitly mention Parkinson's as an adverse health outcome related to air pollutants.
Redox regulation of mitochondrial function,2012,"Handy, D.E.; Loscalzo, J.",N,The article does not mention air pollutants or Parkinson's as an adverse health outcome.
Regulation of phospholipase D2: selective inhibition of mammalian phospholipase D isoenzymes by alpha- and beta-synucleins,1998,"Jenco, J. M.; Rawlingson, A.; Daniels, B.; Morris, A. J.",N,"No air pollutants mentioned focus is on phospholipase D2 and synucleins, not Parkinson's related to air pollution."
Relationship between Antioxidant Activity and Ligand Basicity in the Dipicolinate Series of Oxovanadium(IV) and Dioxovanadium(V) Complexes,2021,"Drzeżdżon, Joanna; Pawlak, Marta; Matyka, Natalia; Sikorski, Artur; Gawdzik, Barbara; Jacewicz, Dagmara",N,The study does not mention any air pollutants or link Parkinson's disease to air pollution.
Relationship of aluminum to Alzheimer's disease,1985,"Perl, D. P.",N,"The study focuses on aluminum and Alzheimer's, not on air pollutants or Parkinson's disease."
Repetitive hyperbaric oxygen therapy for paroxysmal sympathetic hyperactivity a_ er acute carbon monoxide poisoning,2021,"Choi, S.; Kim, H.-H.; Oh, S.B.; Jung, Y.S.",N,The study does not explicitly mention Parkinson's as an adverse health outcome related to CO.
Requirement for cGMP in nerve cell death caused by glutathione depletion,1997,"Li, Y.; Maher, P.; Schubert, D.",N,"No air pollutants mentioned focuses on glutathione depletion and nerve cell death, not related to air pollution or Parkinson's as an outcome."
Research progress on gas signal molecular therapy for Parkinson's disease,2023,"Wang, L.; Dan, Q.; Xu, B.; Chen, Y.; Zheng, T.",N,The study focuses on gas signaling therapy and does not investigate air pollutants related to Parkinson's disease.
Residential exposure to air pollution and incidence of Parkinson's disease in a large metropolitan cohort,2018,"Cerza, F.; Renzi, M.; Agabiti, N.; Marino, C.; Gariazzo, C.; Davoli, M.; Michelozzi, P.; Forastiére, F.; Cesaroni, G.",Y,"The study investigates Parkinson's disease related to nitrogen oxides and ozone, meeting all inclusion criteria."
Residential exposure to road and railway traffic noise and incidence of dementia: The UK Biobank cohort study,2025,"Havyarimana, Enock; Gong, Xiangpu; Jephcote, Calvin; Johnson, Sarah; Suri, Sana; Xie, Wuxiang; Clark, Charlotte; Hansell, Anna L.; Cai, Yutong Samuel",N,"The study focuses on noise pollution and dementia, not on air pollutants or Parkinson's as an adverse health outcome."
"Residential greenness, air pollution and incident neurodegenerative disease: A cohort study in China",2023,"Zhu, Z.; Yang, Z.; Yu, L.; Xu, L.; Wu, Y.; Zhang, X.; Shen, P.; Lin, H.; Shui, L.; Tang, M.; Jin, M.; Wang, J.; Chen, K.",N,"The study focuses on PM and does not explicitly link Parkinson's to the specified air pollutants CO, O3, NO2."
Residential pesticide usage in older adults residing in Central California,2011,"Armes, Mary N.; Liew, Zeyan; Wang, Anthony; Wu, Xiangmei; Bennett, Deborah H.; Hertz-Picciotto, Irva; Ritz, Beate",N,The study focuses on pesticide usage and does not mention air pollutants or Parkinson's as an adverse health outcome related to air pollution.
Respiratory disease in a photographer,1986,"Hodgson, M. J.; Parkinson, D. K.",N,"No mention of air pollutants CO, O3, or NO2 focuses on sulfuric and acetic acid instead."
Resveratrol preconditioning increases methionine sulfoxide reductases A expression and enhances resistance of human neuroblastoma cells to neurotoxins,2013,"Wu, Peng-Fei; Xie, Na; Zhang, Juan-Juan; Guan, Xin-Lei; Zhou, Jun; Long, Li-Hong; Li, Yuan-Long; Xiong, Qiu-Ju; Zeng, Jian-Hua; Wang, Fang; Chen, Jian-Guo",N,Does not mention any of the specified air pollutants or link them to Parkinson's disease.
Retrospection on the role of soluble guanylate cyclase in Parkinson's disease,2017,"Ghanta, M.; Panchanathan, E.; Bhaskar, B.; Narayanaswamy, A.",N,The article is a review and does not mention any air pollutants related to Parkinson's disease.
Revisiting the therapeutic potential of bothrops jararaca venom: Screening for novel activities using connectivity mapping,2018,"Nicolau, C.A.; Prorock, A.; Bao, Y.; Da Costa Neves-Ferreira, A.G.; Valente, R.H.; Fox, J.W.",N,The study does not mention air pollutants or Parkinson's as an adverse health outcome related to air pollution.
Risk factors for Parkinson disease and the path analysis: One-to-one paired design,2007,"Tan, X.H.",N,"No air pollutants mentioned only discusses risk factors for Parkinson's without linking to CO, O3, or NO2."
Risk factors for possible REM sleep behavior disorders: A community-based study in Beijing,2020,"Zhang, H.; Gu, Z.; Yao, C.; Cai, Y.; Li, Y.; Mao, W.; Xu, E.; Postuma, R.B.; Chan, P.",Y,"The study mentions carbon monoxide CO and explicitly links Parkinson's disease to risk factors, meeting inclusion criteria."
"Road proximity, air pollution, noise, green space and neurologic disease incidence: A population-based cohort study",2020,"Yuchi, W.; Sbihi, H.; Davies, H.; Tamburic, L.; Brauer, M.",Y,The study investigates Parkinson's disease related to nitrogen dioxide and includes a large human population cohort.
Role of environmental contaminants in the etiology of Alzheimer's disease: A review,2015,"Yegambaram, M.; Manivannan, B.; Beach, T.G.; Halden, R.U.",N,"The article focuses on Alzheimer's disease, not Parkinson's, and does not mention the required air pollutants."
"Role of Gasotransmitters in Oxidative Stresses, Neuroinflammation, and Neuronal Repair",2017,"Shefa, U.; Yeo, S.G.; Kim, M.-S.; Song, I.O.; Jung, J.; Jeong, N.Y.; Huh, Y.",N,The study is a review and does not present primary or secondary observational data.
Role of heme oxygenase-1 in the regulation of manganese superoxide dismutase gene expression in oxidatively-challenged astroglia,2000,"Frankel, D.; Mehindate, K.; Schipper, H.M.",N,"No air pollutants CO, O3, NO2 mentioned focuses on MnSOD and oxidative stress without linking to air pollution."
Role of TRPA1/TRPV1 in acute ozone exposure induced murine model of airway inflammation and bronchial hyperresponsiveness,2022,"Li, C.; Zhang, H.; Wei, L.; Liu, Q.; Xie, M.; Weng, J.; Wang, X.; Chung, K.F.; Adcock, I.M.; Chen, Y.; Li, F.",N,The study focuses on a murine model and does not investigate Parkinson's as an adverse health outcome related to air pollution.
Roles of Heme Oxygenase-1 in Neuroinflammation and Brain Disorders,2022,"Wu, Y.-H.; Hsieh, H.-L.",N,The article is a review and does not present original observational research.
"Roles of Nutrients in the Brain Development, Cognitive Function, and Mood of Dogs and Cats",2024,"Wu, G.",N,"The article focuses on brain development in dogs and cats, with no mention of air pollutants or Parkinson's disease."
"Rotorua, hydrogen sulphide and Parkinson's disease-A possible beneficial link?",2017,"Cakmak, Yusuf O.",N,"The study focuses on hydrogen sulphide H2S, not the required air pollutants CO, O3, NO2 related to Parkinson's."
"Safety of IPX066, an extended release carbidopa-levodopa formulation, for the treatment of Parkinson's disease",2015,"Kestenbaum, M.; Fahn, S.",N,The study focuses on a drug treatment for Parkinson's and does not investigate air pollutants or their relation to Parkinson's.
Salivary biomarkers: Future approaches for early diagnosis of neurodegenerative diseases,2020,"Schepici, G.; Silvestro, S.; Trubiani, O.; Bramanti, P.; Mazzon, E.",N,The study focuses on biomarkers for neurodegenerative diseases without linking air pollutants to Parkinson's.
San Francisco/Oakland Bay Bridge Welder Study: olfactory function,2007,"Antunes, Marcelo B.; Bowler, Rosemarie; Doty, Richard L.",N,"No mention of air pollutants CO, O3, or NO2 focuses on metal exposure and olfactory function, not Parkinson's related to air pollution."
SAR study of niclosamide derivatives for neuroprotective function in SH-SY5Y neuroblastoma,2023,"Mito, S.; Cheng, B.; Garcia, B.A.; Yee Ooi, X.; Gonzalez, D.; Ruiz, T.C.; Elisarraras, F.X.; Tsin, A.",N,"No air pollutants mentioned focus is on drug development and neuroprotection, not on air pollution's impact on Parkinson's."
Secondary parkinsonism associated with focal brain lesions,2024,"Berlot, R.; Pavlović, A.; Kojović, M.",N,"The study does not mention air pollutants like CO, O3, or NO2, and focuses on secondary parkinsonism without linking it to air pollution."
Secondary Parkinsonism due to a large anterior cranial fossa meningioma,2019,"Al-Janabi, W.S.A.; Zaman, I.; Memon, A.B.",N,"The study focuses on secondary Parkinsonism due to a brain tumor, not on air pollution or the specified pollutants."
Secondhand smoking and neurological disease: a meta-analysis of cohort studies,2021,"Liu, Wei; Wang, Bin; Xiao, Yang; Wang, Dongming; Chen, Weihong",N,"The study focuses on secondhand smoking, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Selenoprotein T Promotes Proliferation and G1-to-S Transition in SK-N-SH Cells: Implications in Parkinson's Disease,2019,"Shao, Z.-Q.; Zhang, X.; Fan, H.-H.; Wang, X.-S.; Wu, H.-M.; Zhang, L.; Cheng, W.-H.; Zhu, J.-H.",N,The study does not mention any air pollutants related to Parkinson's disease.
Sequelae of fume exposure in confined space welding: a neurological and neuropsychological case series,2007,"Bowler, Rosemarie M.; Nakagawa, Sanae; Drezgic, Marija; Roels, Harry A.; Park, Robert M.; Diamond, Emily; Mergler, Donna; Bouchard, Maryse; Bowler, Russell P.; Koller, William",N,"No air pollutants CO, O3, NO2 mentioned focuses on manganese exposure and manganism, not relevant to the criteria."
Serum phosphate is not an early predictor of neurocognitive outcomes in acute carbon monoxide poisoning patients,2023,"Lee, Y.; Kim, S.H.; Cha, Y.S.",N,The study does not mention Parkinson's as an adverse health outcome related to CO.
Sesamin and sesamol attenuate H2O2-induced oxidative stress on human neuronal cells via the SIRT1-SIRT3-FOXO3a signaling pathway,2021,"Ruankham, W.; Suwanjang, W.; Wongchitrat, P.; Prachayasittikul, V.; Prachayasittikul, S.; Phopin, K.",N,"No air pollutants mentioned focus is on oxidative stress and neuroprotection, not on air pollution related to Parkinson's."
"Several lines of antioxidant defense against oxidative stress: antioxidant enzymes, nanomaterials with multiple enzyme-mimicking activities, and low-molecular-weight antioxidants",2024,"Jomová, K.; Al-Omar, S.Y.; Alwasel, S.H.; Nepovimova, E.; Kuča, K.; Valko, M.",N,The article does not mention any air pollutants or explicitly link Parkinson's to air pollution.
"Severe poisoning with carbon monoxide (CO) with neurological impairment, study of 19 cases",2018,"Ouahmane, Y.; Mounach, J.; Satte, A.; Bourazza, A.; Soulaymani, A.; Elomari, N.",Y,"The study involves CO poisoning, mentions Parkinson's syndrome, and is an observational study of human cases."
Severity of parkinsonism associated with environmental manganese exposure,2021,"Racette, Brad A.; Nelson, Gill; Dlamini, Wendy W.; Prathibha, Pradeep; Turner, Jay R.; Ushe, Mwiza; Checkoway, Harvey; Sheppard, Lianne; Nielsen, Susan Searles",N,"The study focuses on manganese exposure, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Short communication: estimates of radiation dose to National Health Service workers in Northamptonshire from raised radon levels,1996,"Denman, A. R.; Parkinson, S.",N,"The study focuses on radon levels, not the specified air pollutants or Parkinson's disease."
"Short term exposure to fine particulate matter and hospital admission risks and costs in the Medicare population: time stratified, case crossover study",2019,"Wei, Yaguang; Wang, Yan; Di, Qian; Choirat, Christine; Wang, Yun; Koutrakis, Petros; Zanobetti, Antonella; Dominici, Francesca; Schwartz, Joel D.",N,"The study focuses on PM2.5, not the specified air pollutants CO, O3, NO2, and does not explicitly link Parkinson's to these pollutants."
Short-term air pollution exposure aggravates Parkinson's disease in a population-based cohort,2017,"Lee, H.; Myung, W.; Kim, D.K.; Kim, S.E.; Kim, C.T.; Kim, H.",Y,"The study investigates Parkinson's disease related to air pollutants, including CO and NO, meeting all inclusion criteria."
Short-term exposure to air pollutants increases the risk of hospital admissions in patients with Parkinson's disease – A multicentric study on 18 French areas,2021,"Goria, S.; Pascal, M.; Corso, M.; Le Tertre, A.",Y,"Study investigates air pollutants NO, ozone and their relationship to Parkinson's disease hospital admissions, meeting all inclusion criteria."
Significantly reduced salivary nitric oxide synthesis in patients with Parkinson's disease,2005,"Huskić, Jasminko; Paperniku, Alma; Husić, Azra; Alendar, Faruk; Mulabegović, Nedzad",N,"The study does not mention any of the specified air pollutants CO, O3, NO2 related to Parkinson's."
Single Rh Adatoms Stabilized on α-Fe(2)O(3)(11̅02) by Coadsorbed Water,2022,"Kraushofer, Florian; Haager, Lena; Eder, Moritz; Rafsanjani-Abbasi, Ali; Jakub, Zdeněk; Franceschi, Giada; Riva, Michele; Meier, Matthias; Schmid, Michael; Diebold, Ulrike; Parkinson, Gareth S.",N,The article does not mention air pollutants or Parkinson's disease.
Single-Atom Catalysis: Insights from Model Systems,2022,"Kraushofer, Florian; Parkinson, Gareth S.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on single-atom catalysis."
"Single-domain magnetic particles with motion behavior under electromagnetic AC and DC fields are a fatal cargo in Metropolitan Mexico City pediatric and young adult early Alzheimer, Parkinson, frontotemporal lobar degeneration and amyotrophic lateral sclerosis and in ALS patients",2024,"Calderón-Garcidueñas, Lilian; Cejudo-Ruiz, Fredy Rubén; Stommel, Elijah W.; González-Maciel, Angélica; Reynoso-Robles, Rafael; Torres-Jardón, Ricardo; Tehuacanero-Cuapa, Samuel; Rodríguez-Gómez, Arturo; Bautista, Francisco; Goguitchaichvili, Avto; Pérez-Guille, Beatriz E.; Soriano-Rosales, Rosa Eugenia; Koseoglu, Emel; Mukherjee, Partha S.",Y,"Study mentions Parkinson's as an adverse health outcome related to ultrafine particulate matter, meeting inclusion criteria."
SIRT1/FOXO3-mediated autophagy signaling involved in manganese-induced neuroinflammation in microglia,2023,"Yan, D.; Yang, Y.; Lang, J.; Wang, X.; Huang, Y.; Meng, J.; Wu, J.; Zeng, X.; Li, H.; Ma, H.; Gao, L.",N,"The study focuses on manganese, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
SIRT2 Inhibition Confers Neuroprotection by Downregulation of FOXO3a and MAPK Signaling Pathways in Ischemic Stroke,2018,"She, D.T.; Wong, L.J.; Baik, S.-H.; Arumugam, T.V.",N,"The study does not mention any air pollutants and focuses on ischemic stroke, not Parkinson's related to air pollution."
"Sirtuin 2 (SIRT2) enhances 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-induced nigrostriatal damage via deacetylating forkhead box O3a (Foxo3a) and activating Bim protein",2012,"Liu, Lei; Arun, Anirudh; Ellis, Lakia; Peritore, Carina; Donmez, Gizem",N,"The study focuses on MPTP and SIRT2 in Parkinson's but does not mention air pollutants CO, O3, or NO2."
Sirtuin 3 regulates Foxo3a-mediated antioxidant pathway in microglia,2015,"Rangarajan, P.; Karthikeyan, A.; Lu, J.; Ling, E.-A.; Dheen, S. T.",N,No mention of air pollutants or their relation to Parkinson's disease.
"Sleep and Arousal Hubs and Ferromagnetic Ultrafine Particulate Matter and Nanoparticle Motion Under Electromagnetic Fields: Neurodegeneration, Sleep Disorders, Orexinergic Neurons, and Air Pollution in Young Urbanites",2025,"Calderón-Garcidueñas, Lilian; Cejudo-Ruiz, Fredy Rubén; Stommel, Elijah W.; González-Maciel, Angélica; Reynoso-Robles, Rafael; Silva-Pereyra, Héctor G.; Pérez-Guille, Beatriz E.; Soriano-Rosales, Rosa Eugenia; Torres-Jardón, Ricardo",N,"No mention of CO, O3, or NO2 focuses on ultrafine particulate matter instead."
"Sleep matters: Neurodegeneration spectrum heterogeneity, combustion and friction ultrafine particles, industrial nanoparticle pollution, and sleep disorders-Denial is not an option",2023,"Calderón-Garcidueñas, Lilian; Torres-Jardón, Ricardo; Greenough, Glen P.; Kulesza, Randy; González-Maciel, Angélica; Reynoso-Robles, Rafael; García-Alonso, Griselda; Chávez-Franco, Diana A.; García-Rojas, Edgar; Brito-Aguilar, Rafael; Silva-Pereyra, Héctor G.; Ayala, Alberto; Stommel, Elijah W.; Mukherjee, Partha S.",N,"No specific mention of CO, O3, or NO2 focuses on PM and neurodegeneration without clear link to air pollutants."
Sources of PM(2.5) exposure misclassification in three Finnish register-based study populations and the impact on attenuation of health effect estimates,2024,"Korhonen, Antti; Rumrich, Isabell Katharina; Roponen, Marjut; Frohn, Lise M.; Geels, Camilla; Brandt, Jørgen; Tolppanen, Anna-Maija; Hänninen, Otto",N,"The study focuses on PM2.5 and does not mention CO, O3, or NO2, nor does it explicitly link Parkinson's to these pollutants."
Spatial analysis of energy use and GHG emissions from cereal production in India,2019,"Rao, N. D.; Poblete-Cazenave, M.; Bhalerao, R.; Davis, K. F.; Parkinson, S.",N,The study does not mention Parkinson's disease or any of the specified air pollutants.
"Spatial distribution of Parkinson's disease mortality in Spain, 1989-1998, as a guide for focused aetiological research or health-care intervention",2009,"Pedro-Cuesta, Jesús de; Rodríguez-Farré, Eduard; Lopez-Abente, Gonzalo",N,"No air pollutants CO, O3, NO2 mentioned focuses on PD mortality without linking to air pollution."
"Spatial test for agricultural pesticide ""blow-in"" effect on prevalence of Parkinson's disease",2006,"Yesavage, J. A.; Sheikh, J.; Noda, A.; Murphy, G.; O'Hara, R.; Hierholzer, R.; Battista, M.; Ashford, J. W.; Schneider, B.; Hoblyn, J.; Kraemer, H. C.; Tinklenberg, J.",N,"No air pollutants CO, O3, NO2 mentioned focuses on pesticides and their relation to Parkinson's disease."
Species and gender differences in the metabolism and distribution of tertiary amyl methyl ether in male and female rats and mice after inhalation exposure or gavage administration,2003,"Sumner, Susan C. J.; Janszen, Derek B.; Asgharian, Bahman; Moore, Timothy A.; Parkinson, Horace D.; Fennell, Timothy R.",N,The study does not mention any of the specified air pollutants or Parkinson's disease.
"Species differences in 5 alpha-androstane-3 beta,17 beta-diol hydroxylation by rat, monkey, and human prostate microsomes",1992,"Gemzik, B.; Jacob, S.; Jennings, S.; Veltman, J.; Parkinson, A.",N,The study does not mention air pollutants or Parkinson's as an adverse health outcome.
Spectrum of delayed post-hypoxic leukoencephalopathy syndrome: A systematic review,2024,"Srichawla, Bahadar S.; Garcia-Dominguez, Maria A.",N,The study focuses on delayed post-hypoxic leukoencephalopathy and does not explicitly link Parkinson's to air pollutants.
Speech production and cognitive deficits on Mt. Everest,1995,"Lieberman, P.; Protopapas, A.; Kanki, B.G.",N,The study does not focus on air pollutants or explicitly link Parkinson's to them.
Stability of Iridium Single Atoms on Fe(3)O(4)(001) in the mbar Pressure Range,2023,"Comini, Nicolo; Diulus, J. Trey; Parkinson, Gareth S.; Osterwalder, Jürg; Novotny, Zbynek",N,The study does not mention Parkinson's disease or any of the specified air pollutants.
State Preemption Repeal: A Pathway to Broader Smoke-Free Indoor Air Policies in the U.S,2025,"Azagba, Sunday; Ebling, Todd; Korkmaz, Alperen; Jensen, Jessica King; Qeadan, Fares; Hall, Mark",N,The study focuses on smoke-free indoor air policies and does not mention air pollutants or Parkinson's disease.
State-of-the-science review: Does manganese exposure during welding pose a neurological risk?,2007,"Santamaria, Annette B.; Cushing, Colleen A.; Antonini, James M.; Finley, Brent L.; Mowat, Fionna S.",N,The article is a review and does not meet the observational study criteria.
Striatal dopamine transporter binding for predicting the development of delayed neuropsychological sequelae in suicide attempters by carbon monoxide poisoning: A SPECT study,2011,"Yang, K.-C.; Ku, H.-L.; Wu, C.-L.; Wang, S.-J.; Yang, C.-C.; Deng, J.-F.; Lee, M.-B.; Chou, Y.-H.",N,Parkinson's is not explicitly mentioned as an adverse health outcome related to carbon monoxide.
Submolecular adventures of brain tyrosine: What are we searching for now?,2002,"Kochman, A.; Kośka, Cz.; Metodiewa, D.",N,"The article does not mention any of the specified air pollutants CO, O3, NO2 or link them to Parkinson's disease."
Sudden death in patients with serious mental illness,2018,"Monasterio, E.; McKean, A.; Sinhalage, V.; Frampton, C.; Mulder, R.",N,The study does not mention Parkinson's disease or any of the specified air pollutants.
Suicide pacts in the Milan district (Italy): A retrospective autopsy-based study with literature review: Forensic investigations in suicide pacts,2022,"Galante, N.; Gentile, G.; Tambuzzi, S.; Zoja, R.",N,The study focuses on suicide pacts and does not mention air pollutants or Parkinson's disease.
Surface point defects on bulk oxides: atomically-resolved scanning probe microscopy,2017,"Setvín, Martin; Wagner, Margareta; Schmid, Michael; Parkinson, Gareth S.; Diebold, Ulrike",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on metal oxides and microscopy."
Surface-based morphometry study of brain in patients with carbon monoxide poisoning,2023,"Wang, T.; Zhang, Y.; Nan, J.; Li, J.; Lei, J.; Guo, S.",N,"The study focuses on cortical changes in CO poisoning, not explicitly linking Parkinson's as an adverse health outcome."
"Surrounding green, air pollution, traffic noise exposure and non-accidental and cause-specific mortality",2020,"Klompmaker, J.O.; Hoek, G.; Bloemsma, L.D.; Marra, M.; Wijga, A.H.; van den Brink, C.; Brunekreef, B.; Lebret, E.; Gehring, U.; Janssen, N.",N,No mention of Parkinson's as an adverse health outcome related to air pollution.
"Synaptic signalling and its interface with neuropathologies: snapshots from the past, present and future",2016,"Beart, P.M.",N,The article is a review and does not focus on observational studies related to air pollutants and Parkinson's.
"Synergistic Anti-Ferroptosis with a Minimalistic, Peroxide-Triggered Carbon Monoxide Donor for Parkinson’s Disease",2025,"Qin, W.; Su, R.; Chen, X.; Liang, Z.; Huang, L.; Qian, X.; Yang, Y.; Qi, S.; Luo, X.",N,"The study focuses on a CO donor for treatment, not on observational data linking air pollutants to Parkinson's."
Synergistic impact of air pollution and artificial light at night on memory disorders: a nationwide cohort analysis,2025,"Tao, H.; Chen, G.; Wu, L.; Lou, H.",N,No mention of Parkinson's as an adverse health outcome related to air pollutants.
Synthesis and antioxidant of activity of alkyl nitroderivatives of hydroxytyrosol,2016,"Gallardo, E.; Palma-Valdés, R.; Sarriá, B.; Gallardo, I.; de la Cruz, J.P.; Bravo, L.; Mateos, R.; Espartero, J.L.",N,"No air pollutants mentioned focus is on antioxidant activity and neuroprotective compounds, not on Parkinson's related to air pollution."
Synthesis and biological evaluation of O4′-benzyl-hispidol derivatives and analogs as dual monoamine oxidase-B inhibitors and anti-neuroinflammatory agents,2024,"Hassan, A.H.E.; Choi, Y.; Kim, R.; Kim, H.J.; Almatary, A.M.; El-Sayed, S.M.; Lee, Y.; Lee, J.K.; Park, K.D.; Lee, Y.S.",N,No mention of air pollutants or Parkinson's as an adverse health outcome.
Synthesis and biological evaluation of potent bisubstrate inhibitors of the enzyme catechol O-methyltransferase (COMT) lacking a nitro group,2006,"Paulini, R.; Lerner, C.; Diederich, F.; Jakob-Rœtne, R.; Zürcher, G.; Borroni, E.",N,The study focuses on enzyme inhibitors and does not mention air pollutants or their relation to Parkinson's disease.
Synthesis of fluorescent-maghemite nanoparticles as multimodal imaging agents for amyloid-beta fibrils detection and removal by a magnetic field,2009,"Skaat, Hadas; Margel, Shlomo",N,"No air pollutants mentioned focuses on Alzheimer's and amyloid-beta, not Parkinson's related to air pollution."
Synthesis of Starfish-Shaped ZnS Nanostructures by Hydrothermal Method and Their Electrochemical Sensing of Dopamine,2024,"Dinesh, Deepika; Celshia, Sherin; Selvamani, Muthamizh; Suresh, Vasugi; Hussein, Mohammed Asif",N,The study does not mention any air pollutants or link Parkinson's to air pollution.
Systematic review and meta-analysis of Sniffin Sticks Test performance in Parkinson's disease patients in different countries,2022,"Trentin, Sheila; Fraiman de Oliveira, Bruno Samuel; Ferreira Felloni Borges, Yuri; de Mello Rieder, Carlos Roberto",N,"The study is a systematic review and meta-analysis, not an observational study."
Tailoring adsorbents for levodopa detection: a DFT study on Pt-encapsulated fullerene systems,2024,"Maxakato, W.; Ogbogu, M.N.; Adeleye, A.P.; Amodu, I.O.; Benjamin, I.; Edet, H.O.",N,The study focuses on levodopa detection and does not mention air pollutants or Parkinson's as an outcome related to air pollution.
Tainted air: The link between pollution and Alzheimer's disease,2018,"Walton, Emma Louise",N,The study focuses on Alzheimer's disease and does not explicitly link air pollutants to Parkinson's disease.
